Total Admissions Per 100k (2012)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2012,0
FEDERAL,2012,18.142546284326755
MASSACHUSETTS,2012,41.4225150703927
MAINE,2012,65.45329794341224
RHODE ISLAND,2012,85.0239742852464
CALIFORNIA,2012,90.51447329924244
WISCONSIN,2012,108.27050442529492
UTAH,2012,110.18156843777876
HAWAII,2012,110.60731315444157
NEW JERSEY,2012,117.85091019438012
NEW YORK,2012,119.35967537683835
NORTH CAROLINA,2012,124.06592936701766
OREGON,2012,137.9716070845599
MINNESOTA,2012,137.99606219508362
NEW HAMPSHIRE,2012,139.16672597783932
MICHIGAN,2012,140.55948584287125
VIRGINIA,2012,143.25910743480196
SOUTH CAROLINA,2012,144.31413526999785
PENNSYLVANIA,2012,146.6208110354372
NEBRASKA,2012,152.30190916317486
GEORGIA,2012,158.70047666594925
WYOMING,2012,158.91411004628634
MARYLAND,2012,160.45371593438628
CONNECTICUT,2012,162.35199550349867
IOWA,2012,166.7107975899962
FLORIDA,2012,167.1431931804252
NORTH DAKOTA,2012,167.37466196321472
NEW MEXICO,2012,171.70629353193277
KANSAS,2012,177.24076156353033
COLORADO,2012,183.30312658190272
OHIO,2012,186.58679989345322
WEST VIRGINIA,2012,190.25413748852682
NEVADA,2012,190.76229162672064
ARIZONA,2012,198.98508451143744
ARKANSAS,2012,199.3468584474545
MONTANA,2012,201.1658065883294
OKLAHOMA,2012,203.36477212555243
TENNESSEE,2012,215.83760090814425
SOUTH DAKOTA,2012,239.15406897908935
ILLINOIS,2012,240.3059201545911
ALABAMA,2012,246.10002897124298
WASHINGTON,2012,264.73783139713254
IDAHO,2012,286.70299700199536
MISSISSIPPI,2012,287.0757935037585
TEXAS,2012,289.2567359024756
INDIANA,2012,290.0723750691031
MISSOURI,2012,302.7571625848474
VERMONT,2012,306.38439260651967
DELAWARE,2012,331.70063635927477
KENTUCKY,2012,354.62393403364746
LOUISIANA,2012,379.43081249390195
ALASKA,2012,534.0085228088356
