Total Admissions Per 100k (2017)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2017,0
FEDERAL,2017,13.927948694503952
MASSACHUSETTS,2017,31.48771126468497
RHODE ISLAND,2017,55.01873751343618
MAINE,2017,74.18181056016624
CALIFORNIA,2017,93.81421335791879
NEW JERSEY,2017,99.22666274616229
NEW HAMPSHIRE,2017,101.35575422905208
NEW YORK,2017,104.45152520738789
HAWAII,2017,109.20900179189626
WISCONSIN,2017,119.38608050442042
SOUTH CAROLINA,2017,119.87574957173727
MICHIGAN,2017,120.61458430679389
CONNECTICUT,2017,127.22313014048332
NEBRASKA,2017,129.36987910895195
UTAH,2017,130.47124071476446
FLORIDA,2017,134.43319799470083
OREGON,2017,134.66815487972315
MARYLAND,2017,136.8763669667956
VIRGINIA,2017,143.60060542950313
MINNESOTA,2017,147.04284290480626
PENNSYLVANIA,2017,151.92646743357972
GEORGIA,2017,160.1149982180147
TENNESSEE,2017,172.08200615129516
COLORADO,2017,172.1015688172645
NORTH CAROLINA,2017,177.56503458099004
INDIANA,2017,184.1058207978679
NEW MEXICO,2017,184.33290071693
OHIO,2017,185.2879704602839
WYOMING,2017,185.5639850513106
ILLINOIS,2017,191.1494769225145
ARIZONA,2017,192.39567462483626
IOWA,2017,192.738620934981
NEVADA,2017,195.89471651302736
WEST VIRGINIA,2017,198.03321517057785
NORTH DAKOTA,2017,212.33980193091543
ALASKA,2017,213.57267891780833
KANSAS,2017,223.02525502699336
MONTANA,2017,253.02405632403074
MISSISSIPPI,2017,253.1081398076472
OKLAHOMA,2017,260.6042844524766
ALABAMA,2017,267.4190065658792
TEXAS,2017,271.60960008049574
VERMONT,2017,278.83916960765293
ARKANSAS,2017,299.4062801757094
DELAWARE,2017,303.2416816450939
MISSOURI,2017,303.7033256716412
IDAHO,2017,334.7228184045714
WASHINGTON,2017,344.5974293193809
LOUISIANA,2017,350.27398778011724
SOUTH DAKOTA,2017,464.2011990810265
KENTUCKY,2017,481.18748441074234
